topic,score,source,discovered_at,region,niche
Alex Pretti,9.5,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Super Bowl,9.4,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Sports
Minnesota,9.2,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Pro Bowl,9.1,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Sports
Bovino,9.0,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
#WWERaw,8.9,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Entertainment/Media
Homan,8.8,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Walz,8.6,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Patriots,8.5,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Sports
Minneapolis,8.4,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Sam Darnold,8.2,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Sports
Highguard,8.1,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Tech/Gaming
Signal,8.0,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Tech/Gaming
Noem,7.9,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Seattle,7.8,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Sports
Pats,7.6,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,Sports
Kyle Rittenhouse,7.5,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Coco Gauff,7.4,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Laken Riley,7.2,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
Drake Maye,7.1,twitter,2026-01-27T11:34:05.848022+00:00,twitter_us,General
